 program J1J2_6          
 spatial system size               56
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       64
 PT swap every                      5
 PT measure index                   1
 disorder configurations            2
 equilibration steps          1000000
 measurement steps             500000
 RNG seed                        9017
 ------------------------
 disorder configurations processed            2
    T      absstr    str2      str4      nem      Global.Strip.Binder      Strip.susc  Local.Strip.Binder     Local.Strip.Binder.Error      Strip.OP.error      stri.susc.error strx   strx2   strx4   Local.Strx.Binder    Local.Strx.Binder.Error  stry   stry2   stry4   Local.Stry.Binder    Local.Stry.Binder.Error absstrx_absstry  absstrx_absstry.Error  coex_angle  coex_angle.Error
 0.977778E+01 0.191044E+00 0.370603E-01 0.144265E-02 0.214061E-01 0.949626E+00 0.960284E+01 0.952523E+00 0.190462E-02 0.371593E-02 0.493629E+00 0.168771E+00 0.290755E-01 0.891044E-03 0.649125E+00 0.172474E-03 0.808559E-01 0.798471E-02 0.983841E-04 0.477475E+00 0.787313E-01 0.135797E-01 0.215764E-02 0.593103E+00 0.137898E+00
 0.983333E+01 0.181331E+00 0.335581E-01 0.119834E-02 0.201418E-01 0.935895E+00 0.118585E+02 0.937939E+00 0.120789E-02 0.255982E-02 0.134414E+01 0.160762E+00 0.266303E-01 0.761402E-03 0.642652E+00 0.187612E-02 0.745985E-01 0.692779E-02 0.772005E-04 0.455687E+00 0.815011E-01 0.119099E-01 0.181993E-02 0.572488E+00 0.140144E+00
 0.988889E+01 0.171015E+00 0.300566E-01 0.978133E-03 0.186942E-01 0.917275E+00 0.143417E+02 0.918412E+00 0.610233E-02 0.119699E-02 0.232213E+01 0.151881E+00 0.240859E-01 0.638935E-03 0.633454E+00 0.491883E-02 0.686262E-01 0.597066E-02 0.597843E-04 0.432350E+00 0.845973E-01 0.103216E-01 0.147977E-02 0.556289E+00 0.143391E+00
 0.994444E+01 0.160297E+00 0.266604E-01 0.787453E-03 0.170071E-01 0.892124E+00 0.170437E+02 0.892516E+00 0.113165E-01 0.140172E-04 0.300879E+01 0.142148E+00 0.214688E-01 0.524555E-03 0.621110E+00 0.851151E-02 0.634985E-01 0.519164E-02 0.469028E-04 0.410497E+00 0.871644E-01 0.891206E-02 0.117638E-02 0.550641E+00 0.146928E+00
 0.100000E+02 0.149267E+00 0.233963E-01 0.623854E-03 0.152412E-01 0.860300E+00 0.195501E+02 0.859970E+00 0.183585E-01 0.110642E-02 0.357594E+01 0.131965E+00 0.188948E-01 0.422933E-03 0.605308E+00 0.128457E-01 0.586994E-01 0.450144E-02 0.365555E-04 0.389235E+00 0.883413E-01 0.762566E-02 0.903293E-03 0.550091E+00 0.150487E+00
 0.100556E+02 0.138097E+00 0.202999E-01 0.485138E-03 0.134365E-01 0.822724E+00 0.213471E+02 0.821821E+00 0.239656E-01 0.183365E-02 0.359368E+01 0.121435E+00 0.163874E-01 0.333021E-03 0.586357E+00 0.171311E-01 0.542939E-01 0.391251E-02 0.285855E-04 0.365000E+00 0.924745E-01 0.647520E-02 0.690286E-03 0.555368E+00 0.153916E+00
 0.101111E+02 0.127117E+00 0.174690E-01 0.373083E-03 0.116843E-01 0.777439E+00 0.226121E+02 0.776284E+00 0.267175E-01 0.204795E-02 0.308102E+01 0.110955E+00 0.140523E-01 0.258033E-03 0.563666E+00 0.205511E-01 0.504120E-01 0.341669E-02 0.224594E-04 0.344633E+00 0.943892E-01 0.548762E-02 0.534064E-03 0.567050E+00 0.155232E+00
 0.101667E+02 0.116577E+00 0.149363E-01 0.283847E-03 0.100045E-01 0.727679E+00 0.231393E+02 0.726534E+00 0.272438E-01 0.180474E-02 0.248675E+01 0.100720E+00 0.119213E-01 0.196453E-03 0.538131E+00 0.222637E-01 0.471427E-01 0.301501E-02 0.178760E-04 0.328678E+00 0.950212E-01 0.466215E-02 0.419737E-03 0.587029E+00 0.152260E+00
 0.102222E+02 0.106605E+00 0.126931E-01 0.213517E-03 0.849937E-02 0.674752E+00 0.227710E+02 0.673965E+00 0.237181E-01 0.125200E-02 0.173279E+01 0.909360E-01 0.100181E-01 0.147280E-03 0.509393E+00 0.234845E-01 0.442500E-01 0.267503E-02 0.143170E-04 0.318749E+00 0.924112E-01 0.395659E-02 0.345025E-03 0.612770E+00 0.148302E+00
 0.102778E+02 0.970962E-01 0.107168E-01 0.159067E-03 0.714464E-02 0.615008E+00 0.220174E+02 0.614805E+00 0.174182E-01 0.544583E-03 0.118999E+01 0.817780E-01 0.834997E-02 0.108892E-03 0.477866E+00 0.232293E-01 0.414009E-01 0.236685E-02 0.115108E-04 0.300078E+00 0.943967E-01 0.333519E-02 0.302646E-03 0.638644E+00 0.143833E+00
 0.103333E+02 0.886620E-01 0.907917E-02 0.119044E-03 0.601241E-02 0.555844E+00 0.206992E+02 0.556404E+00 0.393901E-02 0.366561E-03 0.665254E+00 0.737080E-01 0.697431E-02 0.807215E-04 0.445917E+00 0.182914E-01 0.388923E-01 0.210486E-02 0.927511E-05 0.286695E+00 0.943010E-01 0.283476E-02 0.279142E-03 0.666447E+00 0.132649E+00
 0.103889E+02 0.810508E-01 0.770249E-02 0.893337E-04 0.505966E-02 0.494252E+00 0.190992E+02 0.495358E+00 0.134696E-01 0.130639E-02 0.341204E+00 0.664175E-01 0.582148E-02 0.598259E-04 0.411115E+00 0.124211E-01 0.366478E-01 0.188101E-02 0.753308E-05 0.275465E+00 0.947567E-01 0.241617E-02 0.268714E-03 0.696765E+00 0.121983E+00
