 iconf, T, nbar, abs_nbar, nbar2, nbar4, nbinder
   8 0.440000E+01 0.516630E-03 0.775571E-01 0.953881E-02 0.284515E-03 -.423060E-01
   9 0.400000E+01 0.163894E+01 0.163894E+01 0.270930E+01 0.758411E+01 0.655596E+00
   9 0.404000E+01 0.145270E+01 0.145270E+01 0.213945E+01 0.481621E+01 0.649265E+00
   9 0.408000E+01 0.374474E+00 0.121707E+01 0.152415E+01 0.255577E+01 0.633271E+00
   9 0.412000E+01 0.248503E+00 0.914225E+00 0.906411E+00 0.102776E+01 0.583013E+00
   9 0.416000E+01 -.286200E-01 0.492637E+00 0.329203E+00 0.211219E+00 0.350344E+00
   9 0.420000E+01 -.754423E-02 0.235260E+00 0.920102E-01 0.274777E-01 -.819016E-01
   9 0.424000E+01 -.459465E-02 0.148828E+00 0.383731E-01 0.593139E-02 -.342709E+00
   9 0.428000E+01 -.177692E-02 0.108631E+00 0.194565E-01 0.138898E-02 -.223056E+00
   9 0.432000E+01 0.462490E-03 0.933835E-01 0.141473E-01 0.690746E-03 -.150397E+00
   9 0.436000E+01 -.906950E-03 0.836267E-01 0.112153E-01 0.409376E-03 -.848699E-01
   9 0.440000E+01 0.414840E-03 0.770451E-01 0.943668E-02 0.280128E-03 -.485686E-01
  10 0.400000E+01 0.164071E+01 0.164071E+01 0.271530E+01 0.761929E+01 0.655525E+00
  10 0.404000E+01 0.145044E+01 0.145044E+01 0.213276E+01 0.478542E+01 0.649317E+00
  10 0.408000E+01 0.122273E+01 0.122273E+01 0.153661E+01 0.259419E+01 0.633771E+00
  10 0.412000E+01 -.101477E+00 0.919362E+00 0.916176E+00 0.104530E+01 0.584893E+00
  10 0.416000E+01 -.808290E-03 0.495318E+00 0.332930E+00 0.216957E+00 0.347550E+00
  10 0.420000E+01 -.311612E-02 0.237044E+00 0.932651E-01 0.282824E-01 -.838208E-01
  10 0.424000E+01 0.166524E-02 0.144751E+00 0.357967E-01 0.507983E-02 -.321420E+00
  10 0.428000E+01 -.115870E-02 0.110212E+00 0.200998E-01 0.151186E-02 -.247401E+00
  10 0.432000E+01 0.175268E-02 0.920500E-01 0.137938E-01 0.669213E-03 -.172396E+00
  10 0.436000E+01 -.657610E-03 0.832305E-01 0.110992E-01 0.403752E-03 -.924653E-01
  10 0.440000E+01 -.112583E-02 0.769317E-01 0.940202E-02 0.280101E-03 -.562141E-01
  11 0.400000E+01 0.164175E+01 0.164175E+01 0.271854E+01 0.763506E+01 0.655634E+00
  11 0.404000E+01 0.145246E+01 0.145246E+01 0.213933E+01 0.481958E+01 0.648980E+00
  11 0.408000E+01 0.122426E+01 0.122426E+01 0.154071E+01 0.260949E+01 0.633570E+00
  11 0.412000E+01 -.141149E+00 0.902020E+00 0.891012E+00 0.100811E+01 0.576729E+00
  11 0.416000E+01 -.737858E-02 0.504295E+00 0.341006E+00 0.221528E+00 0.364987E+00
  11 0.420000E+01 -.202768E-02 0.239057E+00 0.953576E-01 0.297303E-01 -.898504E-01
  11 0.424000E+01 -.778189E-02 0.144269E+00 0.355811E-01 0.492949E-02 -.297902E+00
  11 0.428000E+01 0.225081E-02 0.109843E+00 0.198250E-01 0.140219E-02 -.189213E+00
  11 0.432000E+01 0.178618E-02 0.936580E-01 0.141873E-01 0.690770E-03 -.143968E+00
  11 0.436000E+01 0.507090E-03 0.840671E-01 0.113282E-01 0.417877E-03 -.854414E-01
  11 0.440000E+01 0.325400E-04 0.774187E-01 0.949578E-02 0.282910E-03 -.458407E-01
  12 0.400000E+01 0.164055E+01 0.164055E+01 0.271437E+01 0.761029E+01 0.655697E+00
  12 0.404000E+01 0.145234E+01 0.145234E+01 0.213837E+01 0.481062E+01 0.649316E+00
  12 0.408000E+01 0.122270E+01 0.122276E+01 0.153484E+01 0.258128E+01 0.634752E+00
  12 0.412000E+01 0.151133E+00 0.912001E+00 0.902514E+00 0.101890E+01 0.583031E+00
  12 0.416000E+01 0.414088E-01 0.507069E+00 0.344040E+00 0.224207E+00 0.368593E+00
  12 0.420000E+01 -.347052E-02 0.234862E+00 0.922712E-01 0.281945E-01 -.103852E+00
  12 0.424000E+01 -.410640E-03 0.148809E+00 0.379486E-01 0.569243E-02 -.317606E+00
  12 0.428000E+01 0.248906E-02 0.112056E+00 0.208251E-01 0.162076E-02 -.245725E+00
  12 0.432000E+01 -.184808E-02 0.941777E-01 0.143462E-01 0.699309E-03 -.132599E+00
  12 0.436000E+01 -.680740E-03 0.837558E-01 0.112294E-01 0.413834E-03 -.939353E-01
  12 0.440000E+01 -.141300E-03 0.774518E-01 0.953387E-02 0.286393E-03 -.502738E-01
  13 0.400000E+01 0.164210E+01 0.164210E+01 0.271941E+01 0.763747E+01 0.655747E+00
  13 0.404000E+01 0.145255E+01 0.145255E+01 0.213939E+01 0.481817E+01 0.649101E+00
  13 0.408000E+01 -.122073E+01 0.122073E+01 0.153242E+01 0.258256E+01 0.633413E+00
  13 0.412000E+01 0.278643E+00 0.907945E+00 0.900130E+00 0.102276E+01 0.579231E+00
  13 0.416000E+01 -.261523E-01 0.507687E+00 0.342733E+00 0.221176E+00 0.372368E+00
  13 0.420000E+01 0.910930E-02 0.236109E+00 0.932177E-01 0.286702E-01 -.997987E-01
  13 0.424000E+01 -.248912E-02 0.143605E+00 0.352388E-01 0.490708E-02 -.317227E+00
  13 0.428000E+01 -.200041E-02 0.109616E+00 0.198515E-01 0.143600E-02 -.214634E+00
  13 0.432000E+01 -.742990E-03 0.926958E-01 0.138989E-01 0.662944E-03 -.143917E+00
  13 0.436000E+01 0.597420E-03 0.837625E-01 0.112151E-01 0.405517E-03 -.746843E-01
  13 0.440000E+01 -.843790E-03 0.775584E-01 0.955043E-02 0.285065E-03 -.417803E-01
  14 0.400000E+01 0.164201E+01 0.164201E+01 0.271934E+01 0.763948E+01 0.655638E+00
  14 0.404000E+01 -.134369E+01 0.144751E+01 0.212550E+01 0.476034E+01 0.648767E+00
  14 0.408000E+01 0.122521E+01 0.122521E+01 0.154056E+01 0.259790E+01 0.635126E+00
  14 0.412000E+01 -.950109E-01 0.905426E+00 0.893849E+00 0.100836E+01 0.579305E+00
  14 0.416000E+01 -.990508E-02 0.505282E+00 0.341706E+00 0.222148E+00 0.365815E+00
