 iconf, T, strx, stry, absstr, D, best_en, final_en, absstrx_absstry, coex_angle
  39 0.404000E+01 0.588789E+00 0.765429E-02 0.588868E+00 0.346614E+00 -.167381E+01 -.156287E+01 0.450676E-02 0.675777E-03
  39 0.400000E+01 0.628558E+00 0.652946E-02 0.628611E+00 0.395042E+00 -.175106E+01 -.165625E+01 0.410414E-02 0.431549E-03
  40 0.440000E+01 0.203509E-01 0.203643E-01 0.319568E-01 -.545761E-06 -.104269E+01 -.992500E+00 0.414431E-03 0.100000E+01
  40 0.436000E+01 0.225882E-01 0.221467E-01 0.351690E-01 0.197534E-04 -.107612E+01 -.102019E+01 0.500253E-03 0.999610E+00
  40 0.432000E+01 0.259176E-01 0.257976E-01 0.406481E-01 0.620867E-05 -.108769E+01 -.101312E+01 0.668612E-03 0.999978E+00
  40 0.428000E+01 0.304921E-01 0.306568E-01 0.481281E-01 -.100682E-04 -.110956E+01 -.106981E+01 0.934790E-03 0.999971E+00
  40 0.424000E+01 0.396178E-01 0.398768E-01 0.627140E-01 -.205876E-04 -.115544E+01 -.107856E+01 0.157983E-02 0.999958E+00
  40 0.420000E+01 0.614555E-01 0.672778E-01 0.102546E+00 -.749530E-03 -.120363E+01 -.108875E+01 0.413459E-02 0.991851E+00
  40 0.416000E+01 0.230796E+00 0.118316E+00 0.325474E+00 0.392680E-01 -.135450E+01 -.119844E+01 0.273068E-01 0.659204E+00
  40 0.412000E+01 0.124999E-01 0.468043E+00 0.468314E+00 -.218908E+00 -.148281E+01 -.139294E+01 0.585051E-02 0.284895E-02
  40 0.408000E+01 0.930254E-02 0.538493E+00 0.538621E+00 -.289888E+00 -.157462E+01 -.146263E+01 0.500935E-02 0.119301E-02
  40 0.404000E+01 0.588986E+00 0.763403E-02 0.589064E+00 0.346847E+00 -.166281E+01 -.156113E+01 0.449634E-02 0.671755E-03
  40 0.400000E+01 0.655109E-02 0.628354E+00 0.628408E+00 -.394786E+00 -.173625E+01 -.166338E+01 0.411640E-02 0.434694E-03
