 program J1J2_6          
 spatial system size               56
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   HOT
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       64
 PT swap every                      5
 PT measure index                   1
 disorder configurations            2
 equilibration steps          1000000
 measurement steps             500000
 RNG seed                        9003
 ------------------------
 disorder configurations processed            2
    T      absstr    str2      str4      nem      Global.Strip.Binder      Strip.susc  Local.Strip.Binder     Local.Strip.Binder.Error      Strip.OP.error      stri.susc.error strx   strx2   strx4   Local.Strx.Binder    Local.Strx.Binder.Error  stry   stry2   stry4   Local.Stry.Binder    Local.Stry.Binder.Error absstrx_absstry  absstrx_absstry.Error  coex_angle  coex_angle.Error
 0.927778E+01 0.248341E+00 0.618963E-01 0.388542E-02 0.374654E-01 0.985837E+00 0.365160E+01 0.987803E+00 0.161693E-03 0.389701E-02 0.623260E-01 0.222533E+00 0.496801E-01 0.249823E-02 0.663719E+00 0.114688E-03 0.103089E+00 0.122163E-01 0.208309E-03 0.556551E+00 0.555737E-01 0.227541E-01 0.405217E-02 0.567892E+00 0.157699E+00
 0.933333E+01 0.240847E+00 0.582373E-01 0.344346E-02 0.357024E-01 0.984704E+00 0.384113E+01 0.986441E+00 0.340630E-03 0.358165E-02 0.120341E-01 0.216307E+00 0.469680E-01 0.223754E-02 0.663073E+00 0.287246E-05 0.988644E-01 0.112693E-01 0.178446E-03 0.552420E+00 0.572520E-01 0.212084E-01 0.379575E-02 0.559156E+00 0.157720E+00
 0.938889E+01 0.233505E+00 0.547674E-01 0.305007E-02 0.338428E-01 0.983128E+00 0.412389E+01 0.984647E+00 0.858311E-03 0.332979E-02 0.183015E+00 0.209995E+00 0.443020E-01 0.199587E-02 0.662227E+00 0.232941E-03 0.952460E-01 0.104654E-01 0.154351E-03 0.549744E+00 0.576569E-01 0.198397E-01 0.351285E-02 0.554484E+00 0.155643E+00
 0.944444E+01 0.225955E+00 0.513221E-01 0.268487E-02 0.318409E-01 0.980668E+00 0.456652E+01 0.982079E+00 0.169919E-02 0.323550E-02 0.426418E+00 0.203317E+00 0.415758E-01 0.176387E-02 0.661043E+00 0.611662E-03 0.918538E-01 0.974624E-02 0.134209E-03 0.545806E+00 0.592232E-01 0.185326E-01 0.326193E-02 0.552040E+00 0.153555E+00
 0.950000E+01 0.218104E+00 0.478794E-01 0.234562E-02 0.297186E-01 0.976800E+00 0.531382E+01 0.978195E+00 0.331272E-02 0.335273E-02 0.862032E+00 0.196200E+00 0.387881E-01 0.154329E-02 0.659160E+00 0.125673E-02 0.887505E-01 0.909124E-02 0.116564E-03 0.544151E+00 0.593945E-01 0.172975E-01 0.300622E-02 0.553022E+00 0.149317E+00
 0.955556E+01 0.210000E+00 0.444723E-01 0.203452E-02 0.274812E-01 0.971315E+00 0.635973E+01 0.972788E+00 0.532270E-02 0.361271E-02 0.135982E+01 0.188636E+00 0.359554E-01 0.133570E-02 0.656593E+00 0.197140E-02 0.858183E-01 0.851686E-02 0.102460E-03 0.539520E+00 0.622960E-01 0.160963E-01 0.281868E-02 0.556494E+00 0.147533E+00
 0.961111E+01 0.201407E+00 0.410259E-01 0.174526E-02 0.252099E-01 0.963085E+00 0.780922E+01 0.964791E+00 0.816708E-02 0.410261E-02 0.196581E+01 0.180546E+00 0.330795E-01 0.114221E-02 0.652861E+00 0.307813E-02 0.828880E-01 0.794649E-02 0.893372E-04 0.537683E+00 0.626417E-01 0.149029E-01 0.263879E-02 0.562125E+00 0.144298E+00
 0.966667E+01 0.192220E+00 0.375340E-01 0.147764E-02 0.228265E-01 0.951133E+00 0.976616E+01 0.953253E+00 0.125018E-01 0.488279E-02 0.278550E+01 0.171678E+00 0.301125E-01 0.960528E-03 0.647444E+00 0.474778E-02 0.800331E-01 0.742151E-02 0.780562E-04 0.535519E+00 0.637873E-01 0.137127E-01 0.250373E-02 0.571515E+00 0.141389E+00
 0.972222E+01 0.182712E+00 0.341095E-01 0.123822E-02 0.204608E-01 0.935738E+00 0.119412E+02 0.938187E+00 0.181155E-01 0.569244E-02 0.364773E+01 0.162298E+00 0.271700E-01 0.797370E-03 0.640227E+00 0.690130E-02 0.772135E-01 0.693943E-02 0.686070E-04 0.529156E+00 0.678977E-01 0.125369E-01 0.238716E-02 0.584098E+00 0.139396E+00
 0.977778E+01 0.172684E+00 0.307022E-01 0.102250E-02 0.181290E-01 0.915262E+00 0.142752E+02 0.918265E+00 0.247273E-01 0.661795E-02 0.434380E+01 0.152304E+00 0.242389E-01 0.651112E-03 0.630478E+00 0.933368E-02 0.743032E-01 0.646336E-02 0.600197E-04 0.521676E+00 0.722846E-01 0.113552E-01 0.227653E-02 0.599845E+00 0.137274E+00
 0.983333E+01 0.162523E+00 0.274350E-01 0.834478E-03 0.158508E-01 0.891323E+00 0.163426E+02 0.894759E+00 0.312602E-01 0.728470E-02 0.465643E+01 0.141982E+00 0.213946E-01 0.523351E-03 0.618435E+00 0.114985E-01 0.716258E-01 0.604041E-02 0.527790E-04 0.514914E+00 0.766472E-01 0.102292E-01 0.214134E-02 0.621457E+00 0.136364E+00
 0.988889E+01 0.152014E+00 0.242436E-01 0.668427E-03 0.136798E-01 0.862735E+00 0.180484E+02 0.866259E+00 0.383078E-01 0.771312E-02 0.474383E+01 0.131207E+00 0.186218E-01 0.411934E-03 0.603311E+00 0.134676E-01 0.689058E-01 0.562173E-02 0.460853E-04 0.507488E+00 0.813470E-01 0.911203E-02 0.197946E-02 0.647593E+00 0.136179E+00
 0.994444E+01 0.141896E+00 0.213468E-01 0.531890E-03 0.118053E-01 0.832771E+00 0.191535E+02 0.836033E+00 0.458166E-01 0.799365E-02 0.474553E+01 0.120813E+00 0.161318E-01 0.322080E-03 0.586484E+00 0.151337E-01 0.661590E-01 0.521505E-02 0.399790E-04 0.499664E+00 0.861125E-01 0.806984E-02 0.180744E-02 0.674780E+00 0.135321E+00
 0.100000E+02 0.132467E+00 0.187963E-01 0.423122E-03 0.102357E-01 0.802370E+00 0.196273E+02 0.804961E+00 0.533840E-01 0.810081E-02 0.462585E+01 0.111121E+00 0.139644E-01 0.252260E-03 0.567678E+00 0.164783E-01 0.634777E-01 0.483189E-02 0.346203E-04 0.493495E+00 0.897714E-01 0.712943E-02 0.164453E-02 0.700943E+00 0.136094E+00
 0.100556E+02 0.123494E+00 0.165119E-01 0.335417E-03 0.887805E-02 0.769751E+00 0.197240E+02 0.770897E+00 0.623172E-01 0.811325E-02 0.448397E+01 0.101919E+00 0.120429E-01 0.196778E-03 0.546493E+00 0.179895E-01 0.608081E-01 0.446899E-02 0.300087E-04 0.483562E+00 0.954342E-01 0.626820E-02 0.148541E-02 0.726346E+00 0.137058E+00
 0.101111E+02 0.114921E+00 0.144380E-01 0.263127E-03 0.770507E-02 0.737739E+00 0.193019E+02 0.737565E+00 0.678830E-01 0.774063E-02 0.409359E+01 0.930996E-01 0.103147E-01 0.151755E-03 0.523623E+00 0.169366E-01 0.581792E-01 0.412329E-02 0.259043E-04 0.472405E+00 0.101559E+00 0.546982E-02 0.130175E-02 0.751202E+00 0.138817E+00
 0.101667E+02 0.107012E+00 0.126268E-01 0.206324E-03 0.672470E-02 0.705907E+00 0.184480E+02 0.703714E+00 0.745003E-01 0.732284E-02 0.372537E+01 0.850177E-01 0.882693E-02 0.117152E-03 0.498359E+00 0.149687E-01 0.556429E-01 0.379983E-02 0.223104E-04 0.463928E+00 0.105579E+00 0.476424E-02 0.113126E-02 0.772335E+00 0.140517E+00
 0.102222E+02 0.996630E-01 0.110394E-01 0.161518E-03 0.588655E-02 0.674651E+00 0.173730E+02 0.671011E+00 0.797096E-01 0.690769E-02 0.332813E+01 0.775984E-01 0.754443E-02 0.901761E-04 0.471956E+00 0.112618E-01 0.531867E-01 0.349497E-02 0.191154E-04 0.456093E+00 0.109102E+00 0.414308E-02 0.973809E-03 0.790737E+00 0.139377E+00
 0.102778E+02 0.931126E-01 0.968796E-02 0.126648E-03 0.519275E-02 0.650625E+00 0.160570E+02 0.645292E+00 0.823209E-01 0.625605E-02 0.297396E+01 0.710721E-01 0.647067E-02 0.695668E-04 0.446945E+00 0.541074E-02 0.508626E-01 0.321729E-02 0.164040E-04 0.448339E+00 0.112195E+00 0.360888E-02 0.821766E-03 0.802865E+00 0.137847E+00
 0.103333E+02 0.870316E-01 0.851649E-02 0.997418E-04 0.461204E-02 0.624831E+00 0.148541E+02 0.618112E+00 0.863200E-01 0.582962E-02 0.265319E+01 0.651984E-01 0.557006E-02 0.540906E-04 0.419987E+00 0.211652E-03 0.484959E-01 0.294643E-02 0.139653E-04 0.438571E+00 0.116508E+00 0.314232E-02 0.702204E-03 0.810119E+00 0.134196E+00
 0.103889E+02 0.815366E-01 0.751044E-02 0.788373E-04 0.410459E-02 0.602343E+00 0.136086E+02 0.593551E+00 0.908431E-01 0.534753E-02 0.243365E+01 0.600269E-01 0.481324E-02 0.422372E-04 0.393926E+00 0.588904E-02 0.462520E-01 0.269720E-02 0.118633E-04 0.429611E+00 0.120163E+00 0.274487E-02 0.595750E-03 0.813435E+00 0.129028E+00
 0.104444E+02 0.765808E-01 0.665601E-02 0.628170E-04 0.366205E-02 0.582085E+00 0.124357E+02 0.571492E+00 0.966485E-01 0.508906E-02 0.223347E+01 0.555004E-01 0.418161E-02 0.331143E-04 0.370388E+00 0.108699E-01 0.441697E-01 0.247440E-02 0.101148E-04 0.419932E+00 0.124408E+00 0.241525E-02 0.515393E-03 0.816353E+00 0.121508E+00
 0.105000E+02 0.719427E-01 0.589568E-02 0.499309E-04 0.328283E-02 0.563516E+00 0.112940E+02 0.550412E+00 0.103170E+00 0.472617E-02 0.205229E+01 0.514136E-01 0.364320E-02 0.260637E-04 0.347211E+00 0.168198E-01 0.420182E-01 0.225248E-02 0.850269E-05 0.412216E+00 0.126481E+00 0.211835E-02 0.438662E-03 0.814532E+00 0.115104E+00
 0.105556E+02 0.678257E-01 0.525506E-02 0.400649E-04 0.294108E-02 0.549197E+00 0.102577E+02 0.534153E+00 0.108088E+00 0.436962E-02 0.188668E+01 0.479369E-01 0.319760E-02 0.206497E-04 0.328739E+00 0.223177E-01 0.400616E-01 0.205747E-02 0.717915E-05 0.404535E+00 0.128881E+00 0.187475E-02 0.374722E-03 0.811913E+00 0.108504E+00
 0.106111E+02 0.639366E-01 0.468507E-02 0.321839E-04 0.264559E-02 0.533753E+00 0.932380E+01 0.516924E+00 0.113496E+00 0.411207E-02 0.171963E+01 0.447539E-01 0.281319E-02 0.164137E-04 0.310631E+00 0.269514E-01 0.380764E-01 0.187188E-02 0.604290E-05 0.394595E+00 0.131612E+00 0.165794E-02 0.324972E-03 0.808356E+00 0.103001E+00
 0.106667E+02 0.603217E-01 0.418007E-02 0.258432E-04 0.238020E-02 0.520964E+00 0.840644E+01 0.503159E+00 0.117056E+00 0.392230E-02 0.151625E+01 0.417585E-01 0.247153E-02 0.130022E-04 0.291934E+00 0.313441E-01 0.362896E-01 0.170854E-02 0.509802E-05 0.387038E+00 0.133262E+00 0.147155E-02 0.283303E-03 0.808764E+00 0.944675E-01
 0.107222E+02 0.569261E-01 0.373476E-02 0.208171E-04 0.214022E-02 0.507568E+00 0.761380E+01 0.486932E+00 0.125999E+00 0.382826E-02 0.138775E+01 0.390340E-01 0.217734E-02 0.103289E-04 0.276154E+00 0.315764E-01 0.345369E-01 0.155741E-02 0.429294E-05 0.378571E+00 0.136176E+00 0.130746E-02 0.252949E-03 0.807073E+00 0.878362E-01
 0.107778E+02 0.537764E-01 0.334039E-02 0.167942E-04 0.192276E-02 0.494900E+00 0.687731E+01 0.472909E+00 0.130333E+00 0.363470E-02 0.122616E+01 0.365808E-01 0.192302E-02 0.823246E-05 0.260821E+00 0.329044E-01 0.328874E-01 0.141738E-02 0.359626E-05 0.374942E+00 0.134328E+00 0.116578E-02 0.220746E-03 0.809471E+00 0.800368E-01
 0.108333E+02 0.508860E-01 0.299650E-02 0.135979E-04 0.173255E-02 0.485586E+00 0.621134E+01 0.462404E+00 0.134106E+00 0.346057E-02 0.106963E+01 0.343359E-01 0.170297E-02 0.656482E-05 0.248986E+00 0.332027E-01 0.313372E-01 0.129353E-02 0.303135E-05 0.366971E+00 0.135703E+00 0.104192E-02 0.194001E-03 0.811275E+00 0.727191E-01
 0.108889E+02 0.481261E-01 0.268843E-02 0.110319E-04 0.155706E-02 0.473659E+00 0.564839E+01 0.449536E+00 0.137483E+00 0.332301E-02 0.918070E+00 0.323422E-01 0.151562E-02 0.526616E-05 0.240601E+00 0.293488E-01 0.297469E-01 0.117281E-02 0.252951E-05 0.356099E+00 0.137926E+00 0.933260E-03 0.173613E-03 0.817665E+00 0.679887E-01
 0.109444E+02 0.455768E-01 0.241661E-02 0.896572E-05 0.140633E-02 0.464772E+00 0.512337E+01 0.440443E+00 0.138672E+00 0.316780E-02 0.785580E+00 0.305748E-01 0.135619E-02 0.424937E-05 0.235058E+00 0.280815E-01 0.281837E-01 0.106042E-02 0.210333E-05 0.346704E+00 0.138596E+00 0.836476E-03 0.155308E-03 0.820298E+00 0.664257E-01
 0.110000E+02 0.432401E-01 0.218050E-02 0.734277E-05 0.127022E-02 0.455649E+00 0.466733E+01 0.431511E+00 0.139010E+00 0.303746E-02 0.668054E+00 0.290022E-01 0.122013E-02 0.345291E-05 0.232434E+00 0.256925E-01 0.267333E-01 0.960373E-03 0.175276E-05 0.337274E+00 0.139600E+00 0.753653E-03 0.140590E-03 0.823972E+00 0.657868E-01
 0.110556E+02 0.410334E-01 0.196867E-02 0.602372E-05 0.115205E-02 0.445756E+00 0.426468E+01 0.421712E+00 0.139270E+00 0.286808E-02 0.572658E+00 0.275420E-01 0.110019E-02 0.281999E-05 0.229402E+00 0.241961E-01 0.253179E-01 0.868483E-03 0.146111E-05 0.325849E+00 0.140458E+00 0.678305E-03 0.125647E-03 0.826803E+00 0.661740E-01
 0.111111E+02 0.389450E-01 0.177899E-02 0.496548E-05 0.104486E-02 0.431035E+00 0.391106E+01 0.408363E+00 0.136924E+00 0.272321E-02 0.464300E+00 0.261772E-01 0.995762E-03 0.232360E-05 0.223395E+00 0.253067E-01 0.239613E-01 0.783230E-03 0.120931E-05 0.316786E+00 0.139639E+00 0.610978E-03 0.112502E-03 0.831305E+00 0.668251E-01
 0.111667E+02 0.370515E-01 0.161315E-02 0.410276E-05 0.947706E-03 0.423380E+00 0.358106E+01 0.402171E+00 0.132922E+00 0.251283E-02 0.390714E+00 0.249955E-01 0.906186E-03 0.192252E-05 0.224230E+00 0.236502E-01 0.227136E-01 0.706963E-03 0.998987E-06 0.311065E+00 0.136008E+00 0.553876E-03 0.992549E-04 0.838569E+00 0.675145E-01
 0.112222E+02 0.352340E-01 0.146160E-02 0.338576E-05 0.861112E-03 0.415118E+00 0.327320E+01 0.395492E+00 0.129033E+00 0.234540E-02 0.318351E+00 0.238804E-01 0.824404E-03 0.158666E-05 0.225840E+00 0.236503E-01 0.214838E-01 0.637199E-03 0.827596E-06 0.300507E+00 0.134852E+00 0.501025E-03 0.884676E-04 0.842113E+00 0.703108E-01
 0.112778E+02 0.334984E-01 0.132444E-02 0.279776E-05 0.783083E-03 0.405059E+00 0.300344E+01 0.388325E+00 0.121611E+00 0.217100E-02 0.246593E+00 0.228742E-01 0.754583E-03 0.132336E-05 0.228746E+00 0.218486E-01 0.202360E-01 0.569859E-03 0.676298E-06 0.290522E+00 0.131230E+00 0.452995E-03 0.790089E-04 0.847539E+00 0.749488E-01
 0.113333E+02 0.319068E-01 0.120433E-02 0.232805E-05 0.713035E-03 0.394908E+00 0.276587E+01 0.380085E+00 0.115543E+00 0.197441E-02 0.198888E+00 0.218996E-01 0.690665E-03 0.110562E-05 0.230554E+00 0.213986E-01 0.191507E-01 0.513668E-03 0.559433E-06 0.280958E+00 0.127653E+00 0.410985E-03 0.691821E-04 0.853648E+00 0.766250E-01
 0.113889E+02 0.304471E-01 0.109882E-02 0.194936E-05 0.654090E-03 0.385499E+00 0.255339E+01 0.372500E+00 0.108522E+00 0.176109E-02 0.163321E+00 0.210435E-01 0.636743E-03 0.938437E-06 0.231407E+00 0.219304E-01 0.181037E-01 0.462077E-03 0.460952E-06 0.271816E+00 0.123351E+00 0.373561E-03 0.600104E-04 0.857132E+00 0.801724E-01
