 program J1J2_6          
 spatial system size               56
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi, xi                        2.0000000000000000        3.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             Y
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       64
 PT swap every                      5
 PT measure index                   1
 disorder configurations            2
 equilibration steps          1000000
 measurement steps             500000
 RNG seed                        9055
 ------------------------
 disorder configurations processed            2
    T      absstr    str2      str4      nem      Global.Strip.Binder      Strip.susc  Local.Strip.Binder     Local.Strip.Binder.Error      Strip.OP.error      stri.susc.error strx   strx2   strx4   Local.Strx.Binder    Local.Strx.Binder.Error  stry   stry2   stry4   Local.Stry.Binder    Local.Stry.Binder.Error absstrx_absstry  absstrx_absstry.Error  coex_angle  coex_angle.Error
 0.927778E+01 0.242812E+00 0.592720E-01 0.358523E-02 0.481876E-01 0.979487E+00 0.355790E+01 0.986996E+00 0.349433E-02 0.794695E-02 0.767821E+00 0.231175E+00 0.537237E-01 0.294256E-02 0.663990E+00 0.709695E-03 0.632884E-01 0.554830E-02 0.616977E-04 0.354361E+00 0.681380E-01 0.146219E-01 0.463462E-03 0.261511E+00 0.210187E-01
 0.933333E+01 0.236259E+00 0.561376E-01 0.321979E-02 0.461665E-01 0.978309E+00 0.362465E+01 0.986204E+00 0.378631E-02 0.796425E-02 0.834540E+00 0.225471E+00 0.511412E-01 0.267111E-02 0.663505E+00 0.940241E-03 0.597254E-01 0.499645E-02 0.512186E-04 0.339380E+00 0.637809E-01 0.134515E-01 0.358886E-03 0.247494E+00 0.230754E-01
 0.938889E+01 0.229804E+00 0.531468E-01 0.289073E-02 0.440693E-01 0.976580E+00 0.390816E+01 0.984780E+00 0.448850E-02 0.799893E-02 0.104469E+01 0.219625E+00 0.485860E-01 0.241780E-02 0.662656E+00 0.140132E-02 0.568819E-01 0.456078E-02 0.435170E-04 0.329153E+00 0.578893E-01 0.124689E-01 0.240704E-03 0.238707E+00 0.267546E-01
 0.944444E+01 0.223244E+00 0.502008E-01 0.258472E-02 0.418905E-01 0.974365E+00 0.435146E+01 0.982771E+00 0.554638E-02 0.803012E-02 0.135908E+01 0.213524E+00 0.460093E-01 0.217656E-02 0.661465E+00 0.206509E-02 0.543645E-01 0.419153E-02 0.374372E-04 0.320796E+00 0.481732E-01 0.115712E-01 0.929188E-04 0.232813E+00 0.323625E-01
 0.950000E+01 0.216467E+00 0.472659E-01 0.229928E-02 0.396497E-01 0.970809E+00 0.505490E+01 0.979556E+00 0.729893E-02 0.819725E-02 0.181240E+01 0.207131E+00 0.434064E-01 0.194779E-02 0.659792E+00 0.301260E-02 0.521651E-01 0.385944E-02 0.319848E-04 0.319262E+00 0.378133E-01 0.107547E-01 0.251133E-04 0.229803E+00 0.383482E-01
 0.955556E+01 0.209478E+00 0.443703E-01 0.203776E-02 0.372581E-01 0.964936E+00 0.628352E+01 0.974087E+00 0.105268E-01 0.858279E-02 0.262042E+01 0.200265E+00 0.407426E-01 0.173045E-02 0.657196E+00 0.455810E-02 0.506150E-01 0.362772E-02 0.283387E-04 0.321767E+00 0.250607E-01 0.100675E-01 0.135528E-03 0.233341E+00 0.469028E-01
 0.961111E+01 0.202000E+00 0.414108E-01 0.178996E-02 0.348622E-01 0.956207E+00 0.800506E+01 0.965973E+00 0.150479E-01 0.918213E-02 0.361979E+01 0.192947E+00 0.380410E-01 0.152577E-02 0.653480E+00 0.670159E-02 0.487725E-01 0.336983E-02 0.246699E-04 0.319057E+00 0.184971E-01 0.932880E-02 0.155978E-03 0.235450E+00 0.531680E-01
 0.966667E+01 0.193810E+00 0.383319E-01 0.155332E-02 0.322892E-01 0.942844E+00 0.103055E+02 0.953515E+00 0.215258E-01 0.100537E-01 0.472723E+01 0.184765E+00 0.351845E-01 0.132721E-02 0.647880E+00 0.975459E-02 0.472043E-01 0.314740E-02 0.214543E-04 0.322790E+00 0.986667E-02 0.862320E-02 0.155090E-03 0.242749E+00 0.616670E-01
 0.972222E+01 0.185012E+00 0.352054E-01 0.133328E-02 0.295988E-01 0.924269E+00 0.131870E+02 0.935633E+00 0.305193E-01 0.110909E-01 0.598282E+01 0.175835E+00 0.322444E-01 0.114002E-02 0.639894E+00 0.139966E-01 0.458745E-01 0.296092E-02 0.188843E-04 0.329145E+00 0.369590E-02 0.794938E-02 0.126170E-03 0.255404E+00 0.720646E-01
 0.977778E+01 0.175519E+00 0.320161E-01 0.112911E-02 0.268664E-01 0.898461E+00 0.162573E+02 0.911011E+00 0.416751E-01 0.123265E-01 0.682782E+01 0.166124E+00 0.292424E-01 0.966578E-03 0.628644E+00 0.196221E-01 0.444279E-01 0.277371E-02 0.166140E-04 0.330254E+00 0.835116E-04 0.724585E-02 0.601095E-04 0.271194E+00 0.838561E-01
