 program J1J2_6          
 linear system size                28
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi                        2.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             Y
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed          100
 T  BIN   [<energy>]  freq
 0.818421E+01   40 -.517797E+01 0.000000E+00
 0.818421E+01   41 -.507669E+01 0.000000E+00
 0.818421E+01   42 -.497541E+01 0.000000E+00
 0.818421E+01   43 -.487413E+01 0.000000E+00
 0.818421E+01   44 -.477286E+01 0.000000E+00
 0.818421E+01   45 -.467158E+01 0.000000E+00
 0.818421E+01   46 -.457030E+01 0.100000E-06
 0.818421E+01   47 -.446902E+01 0.540000E-04
 0.818421E+01   48 -.436774E+01 0.386920E-02
 0.818421E+01   49 -.426647E+01 0.605649E-01
 0.818421E+01   50 -.416519E+01 0.433575E+00
 0.818421E+01   51 -.406391E+01 0.451134E+00
 0.818421E+01   52 -.396263E+01 0.504390E-01
 0.818421E+01   53 -.386135E+01 0.362900E-03
 0.818421E+01   54 -.376007E+01 0.200000E-06
 0.818421E+01   55 -.365880E+01 0.000000E+00
 0.818421E+01   56 -.355752E+01 0.000000E+00
 0.818421E+01   57 -.345624E+01 0.000000E+00
 0.818421E+01   58 -.335496E+01 0.000000E+00
 0.818421E+01   59 -.325368E+01 0.000000E+00
 0.818421E+01   60 -.315241E+01 0.000000E+00
 0.818421E+01   61 -.305113E+01 0.000000E+00
 0.818421E+01   62 -.294985E+01 0.000000E+00
 0.818421E+01   63 -.284857E+01 0.000000E+00
 0.818421E+01   64 -.274729E+01 0.000000E+00
 0.818421E+01   65 -.264601E+01 0.000000E+00
 0.818421E+01   66 -.254474E+01 0.000000E+00
 0.818421E+01   67 -.244346E+01 0.000000E+00
 0.818421E+01   68 -.234218E+01 0.000000E+00
 0.818421E+01   69 -.224090E+01 0.000000E+00
 0.818421E+01   70 -.213962E+01 0.000000E+00
 0.818421E+01   71 -.203835E+01 0.000000E+00
 0.818421E+01   72 -.193707E+01 0.000000E+00
 0.818421E+01   73 -.183579E+01 0.000000E+00
 0.818421E+01   74 -.173451E+01 0.000000E+00
 0.818421E+01   75 -.163323E+01 0.000000E+00
