 program J1J2_6          
 linear system size                28
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi                        2.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   STR
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed          100
 T  BIN   [<energy>]  freq
 0.836842E+01   54 -.362436E+01 0.800000E-06
 0.836842E+01   55 -.352597E+01 0.000000E+00
 0.836842E+01   56 -.342757E+01 0.000000E+00
 0.836842E+01   57 -.332918E+01 0.000000E+00
 0.836842E+01   58 -.323079E+01 0.000000E+00
 0.836842E+01   59 -.313240E+01 0.000000E+00
 0.836842E+01   60 -.303401E+01 0.000000E+00
 0.836842E+01   61 -.293562E+01 0.000000E+00
 0.836842E+01   62 -.283723E+01 0.000000E+00
 0.836842E+01   63 -.273884E+01 0.000000E+00
 0.836842E+01   64 -.264045E+01 0.000000E+00
 0.836842E+01   65 -.254206E+01 0.000000E+00
 0.836842E+01   66 -.244367E+01 0.000000E+00
 0.836842E+01   67 -.234528E+01 0.000000E+00
 0.836842E+01   68 -.224689E+01 0.000000E+00
 0.836842E+01   69 -.214850E+01 0.000000E+00
 0.836842E+01   70 -.205011E+01 0.000000E+00
 0.836842E+01   71 -.195172E+01 0.000000E+00
 0.836842E+01   72 -.185333E+01 0.000000E+00
 0.836842E+01   73 -.175494E+01 0.000000E+00
 0.836842E+01   74 -.165654E+01 0.000000E+00
 0.836842E+01   75 -.155815E+01 0.000000E+00
 0.836842E+01   76 -.145976E+01 0.000000E+00
 0.836842E+01   77 -.136137E+01 0.000000E+00
 0.836842E+01   78 -.126298E+01 0.000000E+00
 0.836842E+01   79 -.116459E+01 0.000000E+00
 0.836842E+01   80 -.106620E+01 0.000000E+00
 0.836842E+01   81 -.967811E+00 0.000000E+00
 0.836842E+01   82 -.869420E+00 0.000000E+00
 0.836842E+01   83 -.771030E+00 0.000000E+00
 0.836842E+01   84 -.672639E+00 0.000000E+00
 0.836842E+01   85 -.574249E+00 0.000000E+00
 0.836842E+01   86 -.475858E+00 0.000000E+00
 0.836842E+01   87 -.377468E+00 0.000000E+00
 0.836842E+01   88 -.279077E+00 0.000000E+00
 0.836842E+01   89 -.180687E+00 0.000000E+00
 0.836842E+01   90 -.822960E-01 0.000000E+00
 0.836842E+01   91 0.160945E-01 0.000000E+00
 0.836842E+01   92 0.114485E+00 0.000000E+00
 0.836842E+01   93 0.212876E+00 0.000000E+00
 0.836842E+01   94 0.311266E+00 0.000000E+00
 0.836842E+01   95 0.409657E+00 0.000000E+00
 0.836842E+01   96 0.508047E+00 0.000000E+00
 0.836842E+01   97 0.606438E+00 0.000000E+00
 0.836842E+01   98 0.704828E+00 0.000000E+00
 0.836842E+01   99 0.803219E+00 0.000000E+00
 0.855263E+01    1 -.872179E+01 0.000000E+00
 0.855263E+01    2 -.862457E+01 0.000000E+00
 0.855263E+01    3 -.852735E+01 0.000000E+00
 0.855263E+01    4 -.843013E+01 0.000000E+00
 0.855263E+01    5 -.833291E+01 0.000000E+00
 0.855263E+01    6 -.823570E+01 0.000000E+00
 0.855263E+01    7 -.813848E+01 0.000000E+00
 0.855263E+01    8 -.804126E+01 0.000000E+00
 0.855263E+01    9 -.794404E+01 0.000000E+00
 0.855263E+01   10 -.784683E+01 0.000000E+00
 0.855263E+01   11 -.774961E+01 0.000000E+00
 0.855263E+01   12 -.765239E+01 0.000000E+00
 0.855263E+01   13 -.755517E+01 0.000000E+00
 0.855263E+01   14 -.745795E+01 0.000000E+00
 0.855263E+01   15 -.736074E+01 0.000000E+00
 0.855263E+01   16 -.726352E+01 0.000000E+00
 0.855263E+01   17 -.716630E+01 0.000000E+00
 0.855263E+01   18 -.706908E+01 0.000000E+00
 0.855263E+01   19 -.697186E+01 0.000000E+00
 0.855263E+01   20 -.687465E+01 0.000000E+00
 0.855263E+01   21 -.677743E+01 0.000000E+00
 0.855263E+01   22 -.668021E+01 0.000000E+00
 0.855263E+01   23 -.658299E+01 0.000000E+00
 0.855263E+01   24 -.648578E+01 0.000000E+00
 0.855263E+01   25 -.638856E+01 0.000000E+00
 0.855263E+01   26 -.629134E+01 0.000000E+00
 0.855263E+01   27 -.619412E+01 0.000000E+00
 0.855263E+01   28 -.609690E+01 0.000000E+00
 0.855263E+01   29 -.599969E+01 0.000000E+00
 0.855263E+01   30 -.590247E+01 0.000000E+00
 0.855263E+01   31 -.580525E+01 0.000000E+00
 0.855263E+01   32 -.570803E+01 0.000000E+00
 0.855263E+01   33 -.561081E+01 0.000000E+00
 0.855263E+01   34 -.551360E+01 0.000000E+00
 0.855263E+01   35 -.541638E+01 0.000000E+00
 0.855263E+01   36 -.531916E+01 0.000000E+00
 0.855263E+01   37 -.522194E+01 0.000000E+00
 0.855263E+01   38 -.512473E+01 0.000000E+00
 0.855263E+01   39 -.502751E+01 0.000000E+00
 0.855263E+01   40 -.493029E+01 0.000000E+00
 0.855263E+01   41 -.483307E+01 0.000000E+00
 0.855263E+01   42 -.473585E+01 0.000000E+00
 0.855263E+01   43 -.463864E+01 0.000000E+00
 0.855263E+01   44 -.454142E+01 0.000000E+00
 0.855263E+01   45 -.444420E+01 0.000000E+00
 0.855263E+01   46 -.434698E+01 0.000000E+00
 0.855263E+01   47 -.424976E+01 0.209000E-04
 0.855263E+01   48 -.415255E+01 0.363880E-02
 0.855263E+01   49 -.405533E+01 0.829118E-01
 0.855263E+01   50 -.395811E+01 0.440773E+00
 0.855263E+01   51 -.386089E+01 0.397162E+00
 0.855263E+01   52 -.376368E+01 0.727204E-01
 0.855263E+01   53 -.366646E+01 0.276080E-02
 0.855263E+01   54 -.356924E+01 0.119000E-04
 0.855263E+01   55 -.347202E+01 0.100000E-06
 0.855263E+01   56 -.337480E+01 0.000000E+00
 0.855263E+01   57 -.327759E+01 0.000000E+00
 0.855263E+01   58 -.318037E+01 0.000000E+00
 0.855263E+01   59 -.308315E+01 0.000000E+00
 0.855263E+01   60 -.298593E+01 0.000000E+00
 0.855263E+01   61 -.288871E+01 0.000000E+00
 0.855263E+01   62 -.279150E+01 0.000000E+00
 0.855263E+01   63 -.269428E+01 0.000000E+00
 0.855263E+01   64 -.259706E+01 0.000000E+00
 0.855263E+01   65 -.249984E+01 0.000000E+00
 0.855263E+01   66 -.240263E+01 0.000000E+00
 0.855263E+01   67 -.230541E+01 0.000000E+00
 0.855263E+01   68 -.220819E+01 0.000000E+00
 0.855263E+01   69 -.211097E+01 0.000000E+00
 0.855263E+01   70 -.201375E+01 0.000000E+00
 0.855263E+01   71 -.191654E+01 0.000000E+00
 0.855263E+01   72 -.181932E+01 0.000000E+00
 0.855263E+01   73 -.172210E+01 0.000000E+00
 0.855263E+01   74 -.162488E+01 0.000000E+00
 0.855263E+01   75 -.152766E+01 0.000000E+00
 0.855263E+01   76 -.143045E+01 0.000000E+00
 0.855263E+01   77 -.133323E+01 0.000000E+00
 0.855263E+01   78 -.123601E+01 0.000000E+00
 0.855263E+01   79 -.113879E+01 0.000000E+00
 0.855263E+01   80 -.104158E+01 0.000000E+00
 0.855263E+01   81 -.944357E+00 0.000000E+00
 0.855263E+01   82 -.847139E+00 0.000000E+00
 0.855263E+01   83 -.749922E+00 0.000000E+00
 0.855263E+01   84 -.652704E+00 0.000000E+00
 0.855263E+01   85 -.555486E+00 0.000000E+00
 0.855263E+01   86 -.458268E+00 0.000000E+00
 0.855263E+01   87 -.361050E+00 0.000000E+00
 0.855263E+01   88 -.263832E+00 0.000000E+00
 0.855263E+01   89 -.166614E+00 0.000000E+00
 0.855263E+01   90 -.693965E-01 0.000000E+00
 0.855263E+01   91 0.278214E-01 0.000000E+00
 0.855263E+01   92 0.125039E+00 0.000000E+00
 0.855263E+01   93 0.222257E+00 0.000000E+00
 0.855263E+01   94 0.319475E+00 0.000000E+00
 0.855263E+01   95 0.416693E+00 0.000000E+00
 0.855263E+01   96 0.513911E+00 0.000000E+00
 0.855263E+01   97 0.611129E+00 0.000000E+00
 0.855263E+01   98 0.708346E+00 0.000000E+00
 0.855263E+01   99 0.805564E+00 0.000000E+00
 0.873684E+01    1 -.836599E+01 0.000000E+00
 0.873684E+01    2 -.827233E+01 0.000000E+00
 0.873684E+01    3 -.817867E+01 0.000000E+00
 0.873684E+01    4 -.808501E+01 0.000000E+00
 0.873684E+01    5 -.799135E+01 0.000000E+00
 0.873684E+01    6 -.789769E+01 0.000000E+00
 0.873684E+01    7 -.780403E+01 0.000000E+00
 0.873684E+01    8 -.771037E+01 0.000000E+00
 0.873684E+01    9 -.761671E+01 0.000000E+00
 0.873684E+01   10 -.752305E+01 0.000000E+00
