 iconf T
   5 0.800000E+01
 isweep, binderx, bindery
     327 0.564408E+00 0.665849E+00
     328 0.564368E+00 0.665851E+00
     329 0.564756E+00 0.665853E+00
     330 0.564911E+00 0.665852E+00
     331 0.565164E+00 0.665847E+00
     332 0.565553E+00 0.665848E+00
     333 0.565311E+00 0.665849E+00
     334 0.565026E+00 0.665848E+00
     335 0.564806E+00 0.665850E+00
     336 0.564222E+00 0.665852E+00
     337 0.563525E+00 0.665854E+00
     338 0.562644E+00 0.665856E+00
     339 0.561778E+00 0.665852E+00
     340 0.560987E+00 0.665854E+00
     341 0.560433E+00 0.665854E+00
     342 0.559731E+00 0.665856E+00
     343 0.559475E+00 0.665855E+00
     344 0.559225E+00 0.665855E+00
     345 0.557948E+00 0.665857E+00
     346 0.556721E+00 0.665858E+00
     347 0.555467E+00 0.665855E+00
     348 0.554212E+00 0.665853E+00
     349 0.552935E+00 0.665854E+00
     350 0.551736E+00 0.665847E+00
     351 0.550455E+00 0.665850E+00
     352 0.549280E+00 0.665850E+00
     353 0.548042E+00 0.665852E+00
     354 0.546872E+00 0.665854E+00
     355 0.545593E+00 0.665856E+00
     356 0.544437E+00 0.665856E+00
     357 0.543270E+00 0.665856E+00
     358 0.542026E+00 0.665857E+00
     359 0.540781E+00 0.665860E+00
     360 0.539590E+00 0.665862E+00
     361 0.538360E+00 0.665861E+00
     362 0.537084E+00 0.665863E+00
     363 0.537153E+00 0.665865E+00
     364 0.537439E+00 0.665867E+00
     365 0.537896E+00 0.665870E+00
     366 0.538365E+00 0.665871E+00
     367 0.538848E+00 0.665866E+00
     368 0.539171E+00 0.665865E+00
     369 0.539648E+00 0.665867E+00
     370 0.540119E+00 0.665869E+00
     371 0.540475E+00 0.665870E+00
     372 0.540749E+00 0.665872E+00
     373 0.541138E+00 0.665871E+00
     374 0.541507E+00 0.665873E+00
     375 0.540321E+00 0.665871E+00
     376 0.539244E+00 0.665872E+00
     377 0.538113E+00 0.665860E+00
     378 0.537001E+00 0.665862E+00
     379 0.535793E+00 0.665862E+00
     380 0.534608E+00 0.665864E+00
