 program J1J2_6          
 linear system size                28
 J1                         1.0000000000000000     
 deltaJ1                    0.0000000000000000     
 J2                        -1.0000000000000000     
 J3                         1.0000000000000000     
 phi                        2.0000000000000000     
 impurity conc.             0.0000000000000000     
 impurity mode           RAN
 start                   HOT
 stripe axis             X
 sampler mode            PT   
 update order            SEQ
 temperature protocol    INDEP
 PT start mode           COMMON
 PT ladder mode          LINEAR
 PT replicas                       20
 PT swap every                      5
 PT measure index                   1
 disorder configurations          100
 equilibration steps           100000
 measurement steps             100000
 RNG seed                           1
 energy definition       exchange + phi
 -------------------------
 disorder configurations processed          100
 T  BIN   [<energy>]  freq
 0.818421E+01   35 -.565373E+01 0.000000E+00
 0.818421E+01   36 -.555292E+01 0.000000E+00
 0.818421E+01   37 -.545210E+01 0.000000E+00
 0.818421E+01   38 -.535129E+01 0.000000E+00
 0.818421E+01   39 -.525047E+01 0.000000E+00
 0.818421E+01   40 -.514966E+01 0.000000E+00
 0.818421E+01   41 -.504885E+01 0.000000E+00
 0.818421E+01   42 -.494803E+01 0.000000E+00
 0.818421E+01   43 -.484722E+01 0.000000E+00
 0.818421E+01   44 -.474640E+01 0.000000E+00
 0.818421E+01   45 -.464559E+01 0.000000E+00
 0.818421E+01   46 -.454478E+01 0.000000E+00
 0.818421E+01   47 -.444396E+01 0.270000E-05
 0.818421E+01   48 -.434315E+01 0.177880E-02
 0.818421E+01   49 -.424233E+01 0.634793E-01
 0.818421E+01   50 -.414152E+01 0.426550E+00
 0.818421E+01   51 -.404071E+01 0.453283E+00
 0.818421E+01   52 -.393989E+01 0.545541E-01
 0.818421E+01   53 -.383908E+01 0.352100E-03
 0.818421E+01   54 -.373826E+01 0.100000E-06
 0.818421E+01   55 -.363745E+01 0.000000E+00
 0.818421E+01   56 -.353663E+01 0.000000E+00
 0.818421E+01   57 -.343582E+01 0.000000E+00
 0.818421E+01   58 -.333501E+01 0.000000E+00
 0.818421E+01   59 -.323419E+01 0.000000E+00
 0.818421E+01   60 -.313338E+01 0.000000E+00
 0.818421E+01   61 -.303256E+01 0.000000E+00
 0.818421E+01   62 -.293175E+01 0.000000E+00
 0.818421E+01   63 -.283094E+01 0.000000E+00
 0.818421E+01   64 -.273012E+01 0.000000E+00
 0.818421E+01   65 -.262931E+01 0.000000E+00
 0.818421E+01   66 -.252849E+01 0.000000E+00
 0.818421E+01   67 -.242768E+01 0.000000E+00
 0.818421E+01   68 -.232687E+01 0.000000E+00
 0.818421E+01   69 -.222605E+01 0.000000E+00
 0.818421E+01   70 -.212524E+01 0.000000E+00
 0.818421E+01   71 -.202442E+01 0.000000E+00
 0.818421E+01   72 -.192361E+01 0.000000E+00
 0.818421E+01   73 -.182280E+01 0.000000E+00
 0.818421E+01   74 -.172198E+01 0.000000E+00
 0.818421E+01   75 -.162117E+01 0.000000E+00
 0.818421E+01   76 -.152035E+01 0.000000E+00
 0.818421E+01   77 -.141954E+01 0.000000E+00
 0.818421E+01   78 -.131872E+01 0.000000E+00
 0.818421E+01   79 -.121791E+01 0.000000E+00
 0.818421E+01   80 -.111710E+01 0.000000E+00
 0.818421E+01   81 -.101628E+01 0.000000E+00
 0.818421E+01   82 -.915468E+00 0.000000E+00
 0.818421E+01   83 -.814654E+00 0.000000E+00
 0.818421E+01   84 -.713840E+00 0.000000E+00
 0.818421E+01   85 -.613026E+00 0.000000E+00
 0.818421E+01   86 -.512212E+00 0.000000E+00
 0.818421E+01   87 -.411398E+00 0.000000E+00
 0.818421E+01   88 -.310583E+00 0.000000E+00
 0.818421E+01   89 -.209769E+00 0.000000E+00
 0.818421E+01   90 -.108955E+00 0.000000E+00
 0.818421E+01   91 -.814111E-02 0.000000E+00
 0.818421E+01   92 0.926730E-01 0.000000E+00
 0.818421E+01   93 0.193487E+00 0.000000E+00
 0.818421E+01   94 0.294301E+00 0.000000E+00
 0.818421E+01   95 0.395115E+00 0.000000E+00
 0.818421E+01   96 0.495929E+00 0.000000E+00
 0.818421E+01   97 0.596744E+00 0.000000E+00
 0.818421E+01   98 0.697558E+00 0.000000E+00
 0.818421E+01   99 0.798372E+00 0.000000E+00
 0.836842E+01    1 -.894503E+01 0.000000E+00
 0.836842E+01    2 -.884558E+01 0.000000E+00
 0.836842E+01    3 -.874613E+01 0.000000E+00
 0.836842E+01    4 -.864668E+01 0.000000E+00
 0.836842E+01    5 -.854723E+01 0.000000E+00
 0.836842E+01    6 -.844778E+01 0.000000E+00
 0.836842E+01    7 -.834833E+01 0.000000E+00
 0.836842E+01    8 -.824888E+01 0.000000E+00
 0.836842E+01    9 -.814943E+01 0.000000E+00
 0.836842E+01   10 -.804998E+01 0.000000E+00
 0.836842E+01   11 -.795053E+01 0.000000E+00
 0.836842E+01   12 -.785108E+01 0.000000E+00
 0.836842E+01   13 -.775163E+01 0.000000E+00
 0.836842E+01   14 -.765218E+01 0.000000E+00
 0.836842E+01   15 -.755272E+01 0.000000E+00
 0.836842E+01   16 -.745327E+01 0.000000E+00
 0.836842E+01   17 -.735382E+01 0.000000E+00
 0.836842E+01   18 -.725437E+01 0.000000E+00
 0.836842E+01   19 -.715492E+01 0.000000E+00
 0.836842E+01   20 -.705547E+01 0.000000E+00
 0.836842E+01   21 -.695602E+01 0.000000E+00
 0.836842E+01   22 -.685657E+01 0.000000E+00
 0.836842E+01   23 -.675712E+01 0.000000E+00
 0.836842E+01   24 -.665767E+01 0.000000E+00
 0.836842E+01   25 -.655822E+01 0.000000E+00
 0.836842E+01   26 -.645877E+01 0.000000E+00
 0.836842E+01   27 -.635932E+01 0.000000E+00
 0.836842E+01   28 -.625987E+01 0.000000E+00
 0.836842E+01   29 -.616042E+01 0.000000E+00
 0.836842E+01   30 -.606097E+01 0.000000E+00
 0.836842E+01   31 -.596152E+01 0.000000E+00
 0.836842E+01   32 -.586207E+01 0.000000E+00
 0.836842E+01   33 -.576262E+01 0.000000E+00
 0.836842E+01   34 -.566317E+01 0.000000E+00
 0.836842E+01   35 -.556372E+01 0.000000E+00
 0.836842E+01   36 -.546427E+01 0.000000E+00
 0.836842E+01   37 -.536482E+01 0.000000E+00
 0.836842E+01   38 -.526537E+01 0.000000E+00
 0.836842E+01   39 -.516592E+01 0.000000E+00
 0.836842E+01   40 -.506647E+01 0.000000E+00
 0.836842E+01   41 -.496702E+01 0.000000E+00
 0.836842E+01   42 -.486757E+01 0.000000E+00
 0.836842E+01   43 -.476812E+01 0.000000E+00
 0.836842E+01   44 -.466867E+01 0.000000E+00
 0.836842E+01   45 -.456922E+01 0.000000E+00
 0.836842E+01   46 -.446977E+01 0.000000E+00
 0.836842E+01   47 -.437032E+01 0.363000E-04
 0.836842E+01   48 -.427087E+01 0.445000E-02
 0.836842E+01   49 -.417142E+01 0.705100E-01
 0.836842E+01   50 -.407196E+01 0.384609E+00
 0.836842E+01   51 -.397251E+01 0.452837E+00
 0.836842E+01   52 -.387306E+01 0.853051E-01
 0.836842E+01   53 -.377361E+01 0.224210E-02
 0.836842E+01   54 -.367416E+01 0.108000E-04
 0.836842E+01   55 -.357471E+01 0.000000E+00
 0.836842E+01   56 -.347526E+01 0.000000E+00
 0.836842E+01   57 -.337581E+01 0.000000E+00
 0.836842E+01   58 -.327636E+01 0.000000E+00
 0.836842E+01   59 -.317691E+01 0.000000E+00
 0.836842E+01   60 -.307746E+01 0.000000E+00
 0.836842E+01   61 -.297801E+01 0.000000E+00
 0.836842E+01   62 -.287856E+01 0.000000E+00
 0.836842E+01   63 -.277911E+01 0.000000E+00
 0.836842E+01   64 -.267966E+01 0.000000E+00
 0.836842E+01   65 -.258021E+01 0.000000E+00
 0.836842E+01   66 -.248076E+01 0.000000E+00
 0.836842E+01   67 -.238131E+01 0.000000E+00
 0.836842E+01   68 -.228186E+01 0.000000E+00
 0.836842E+01   69 -.218241E+01 0.000000E+00
 0.836842E+01   70 -.208296E+01 0.000000E+00
 0.836842E+01   71 -.198351E+01 0.000000E+00
 0.836842E+01   72 -.188406E+01 0.000000E+00
 0.836842E+01   73 -.178461E+01 0.000000E+00
 0.836842E+01   74 -.168516E+01 0.000000E+00
 0.836842E+01   75 -.158571E+01 0.000000E+00
 0.836842E+01   76 -.148626E+01 0.000000E+00
 0.836842E+01   77 -.138681E+01 0.000000E+00
 0.836842E+01   78 -.128736E+01 0.000000E+00
 0.836842E+01   79 -.118791E+01 0.000000E+00
 0.836842E+01   80 -.108846E+01 0.000000E+00
 0.836842E+01   81 -.989006E+00 0.000000E+00
 0.836842E+01   82 -.889556E+00 0.000000E+00
 0.836842E+01   83 -.790105E+00 0.000000E+00
 0.836842E+01   84 -.690655E+00 0.000000E+00
 0.836842E+01   85 -.591205E+00 0.000000E+00
 0.836842E+01   86 -.491754E+00 0.000000E+00
 0.836842E+01   87 -.392304E+00 0.000000E+00
 0.836842E+01   88 -.292854E+00 0.000000E+00
 0.836842E+01   89 -.193403E+00 0.000000E+00
 0.836842E+01   90 -.939532E-01 0.000000E+00
 0.836842E+01   91 0.549710E-02 0.000000E+00
 0.836842E+01   92 0.104947E+00 0.000000E+00
 0.836842E+01   93 0.204398E+00 0.000000E+00
 0.836842E+01   94 0.303848E+00 0.000000E+00
 0.836842E+01   95 0.403298E+00 0.000000E+00
 0.836842E+01   96 0.502749E+00 0.000000E+00
 0.836842E+01   97 0.602199E+00 0.000000E+00
 0.836842E+01   98 0.701649E+00 0.000000E+00
 0.836842E+01   99 0.801099E+00 0.000000E+00
 0.855263E+01    1 -.886612E+01 0.000000E+00
 0.855263E+01    2 -.876746E+01 0.000000E+00
 0.855263E+01    3 -.866880E+01 0.000000E+00
 0.855263E+01    4 -.857014E+01 0.000000E+00
 0.855263E+01    5 -.847148E+01 0.000000E+00
 0.855263E+01    6 -.837281E+01 0.000000E+00
 0.855263E+01    7 -.827415E+01 0.000000E+00
 0.855263E+01    8 -.817549E+01 0.000000E+00
 0.855263E+01    9 -.807683E+01 0.000000E+00
 0.855263E+01   10 -.797817E+01 0.000000E+00
 0.855263E+01   11 -.787951E+01 0.000000E+00
 0.855263E+01   12 -.778085E+01 0.000000E+00
 0.855263E+01   13 -.768219E+01 0.000000E+00
 0.855263E+01   14 -.758352E+01 0.000000E+00
 0.855263E+01   15 -.748486E+01 0.000000E+00
 0.855263E+01   16 -.738620E+01 0.000000E+00
 0.855263E+01   17 -.728754E+01 0.000000E+00
 0.855263E+01   18 -.718888E+01 0.000000E+00
 0.855263E+01   19 -.709022E+01 0.000000E+00
 0.855263E+01   20 -.699156E+01 0.000000E+00
 0.855263E+01   21 -.689290E+01 0.000000E+00
 0.855263E+01   22 -.679423E+01 0.000000E+00
 0.855263E+01   23 -.669557E+01 0.000000E+00
 0.855263E+01   24 -.659691E+01 0.000000E+00
 0.855263E+01   25 -.649825E+01 0.000000E+00
 0.855263E+01   26 -.639959E+01 0.000000E+00
 0.855263E+01   27 -.630093E+01 0.000000E+00
 0.855263E+01   28 -.620227E+01 0.000000E+00
 0.855263E+01   29 -.610361E+01 0.000000E+00
 0.855263E+01   30 -.600495E+01 0.000000E+00
 0.855263E+01   31 -.590628E+01 0.000000E+00
 0.855263E+01   32 -.580762E+01 0.000000E+00
 0.855263E+01   33 -.570896E+01 0.000000E+00
 0.855263E+01   34 -.561030E+01 0.000000E+00
 0.855263E+01   35 -.551164E+01 0.000000E+00
 0.855263E+01   36 -.541298E+01 0.000000E+00
 0.855263E+01   37 -.531432E+01 0.000000E+00
 0.855263E+01   38 -.521566E+01 0.000000E+00
 0.855263E+01   39 -.511699E+01 0.000000E+00
 0.855263E+01   40 -.501833E+01 0.000000E+00
 0.855263E+01   41 -.491967E+01 0.000000E+00
 0.855263E+01   42 -.482101E+01 0.000000E+00
 0.855263E+01   43 -.472235E+01 0.000000E+00
 0.855263E+01   44 -.462369E+01 0.000000E+00
 0.855263E+01   45 -.452503E+01 0.000000E+00
 0.855263E+01   46 -.442637E+01 0.000000E+00
 0.855263E+01   47 -.432770E+01 0.320000E-05
 0.855263E+01   48 -.422904E+01 0.131310E-02
 0.855263E+01   49 -.413038E+01 0.624589E-01
 0.855263E+01   50 -.403172E+01 0.418685E+00
 0.855263E+01   51 -.393306E+01 0.428378E+00
 0.855263E+01   52 -.383440E+01 0.857197E-01
 0.855263E+01   53 -.373574E+01 0.342020E-02
 0.855263E+01   54 -.363708E+01 0.214000E-04
 0.855263E+01   55 -.353842E+01 0.000000E+00
 0.855263E+01   56 -.343975E+01 0.000000E+00
 0.855263E+01   57 -.334109E+01 0.000000E+00
 0.855263E+01   58 -.324243E+01 0.000000E+00
 0.855263E+01   59 -.314377E+01 0.000000E+00
 0.855263E+01   60 -.304511E+01 0.000000E+00
 0.855263E+01   61 -.294645E+01 0.000000E+00
 0.855263E+01   62 -.284779E+01 0.000000E+00
 0.855263E+01   63 -.274913E+01 0.000000E+00
 0.855263E+01   64 -.265046E+01 0.000000E+00
 0.855263E+01   65 -.255180E+01 0.000000E+00
 0.855263E+01   66 -.245314E+01 0.000000E+00
 0.855263E+01   67 -.235448E+01 0.000000E+00
 0.855263E+01   68 -.225582E+01 0.000000E+00
 0.855263E+01   69 -.215716E+01 0.000000E+00
 0.855263E+01   70 -.205850E+01 0.000000E+00
 0.855263E+01   71 -.195984E+01 0.000000E+00
 0.855263E+01   72 -.186117E+01 0.000000E+00
 0.855263E+01   73 -.176251E+01 0.000000E+00
 0.855263E+01   74 -.166385E+01 0.000000E+00
 0.855263E+01   75 -.156519E+01 0.000000E+00
 0.855263E+01   76 -.146653E+01 0.000000E+00
 0.855263E+01   77 -.136787E+01 0.000000E+00
 0.855263E+01   78 -.126921E+01 0.000000E+00
 0.855263E+01   79 -.117055E+01 0.000000E+00
 0.855263E+01   80 -.107189E+01 0.000000E+00
 0.855263E+01   81 -.973224E+00 0.000000E+00
 0.855263E+01   82 -.874563E+00 0.000000E+00
 0.855263E+01   83 -.775902E+00 0.000000E+00
 0.855263E+01   84 -.677240E+00 0.000000E+00
 0.855263E+01   85 -.578579E+00 0.000000E+00
 0.855263E+01   86 -.479918E+00 0.000000E+00
 0.855263E+01   87 -.381257E+00 0.000000E+00
 0.855263E+01   88 -.282596E+00 0.000000E+00
 0.855263E+01   89 -.183934E+00 0.000000E+00
 0.855263E+01   90 -.852732E-01 0.000000E+00
 0.855263E+01   91 0.133880E-01 0.000000E+00
 0.855263E+01   92 0.112049E+00 0.000000E+00
 0.855263E+01   93 0.210710E+00 0.000000E+00
 0.855263E+01   94 0.309372E+00 0.000000E+00
 0.855263E+01   95 0.408033E+00 0.000000E+00
 0.855263E+01   96 0.506694E+00 0.000000E+00
 0.855263E+01   97 0.605355E+00 0.000000E+00
 0.855263E+01   98 0.704016E+00 0.000000E+00
 0.855263E+01   99 0.802678E+00 0.000000E+00
 0.873684E+01    1 -.855290E+01 0.000000E+00
 0.873684E+01    2 -.845737E+01 0.000000E+00
 0.873684E+01    3 -.836184E+01 0.000000E+00
 0.873684E+01    4 -.826631E+01 0.000000E+00
 0.873684E+01    5 -.817078E+01 0.000000E+00
 0.873684E+01    6 -.807525E+01 0.000000E+00
 0.873684E+01    7 -.797972E+01 0.000000E+00
 0.873684E+01    8 -.788420E+01 0.000000E+00
 0.873684E+01    9 -.778867E+01 0.000000E+00
 0.873684E+01   10 -.769314E+01 0.000000E+00
 0.873684E+01   11 -.759761E+01 0.000000E+00
 0.873684E+01   12 -.750208E+01 0.000000E+00
 0.873684E+01   13 -.740655E+01 0.000000E+00
 0.873684E+01   14 -.731102E+01 0.000000E+00
 0.873684E+01   15 -.721549E+01 0.000000E+00
 0.873684E+01   16 -.711996E+01 0.000000E+00
 0.873684E+01   17 -.702443E+01 0.000000E+00
 0.873684E+01   18 -.692891E+01 0.000000E+00
 0.873684E+01   19 -.683338E+01 0.000000E+00
 0.873684E+01   20 -.673785E+01 0.000000E+00
 0.873684E+01   21 -.664232E+01 0.000000E+00
 0.873684E+01   22 -.654679E+01 0.000000E+00
 0.873684E+01   23 -.645126E+01 0.000000E+00
 0.873684E+01   24 -.635573E+01 0.000000E+00
 0.873684E+01   25 -.626020E+01 0.000000E+00
 0.873684E+01   26 -.616467E+01 0.000000E+00
 0.873684E+01   27 -.606914E+01 0.000000E+00
 0.873684E+01   28 -.597362E+01 0.000000E+00
 0.873684E+01   29 -.587809E+01 0.000000E+00
 0.873684E+01   30 -.578256E+01 0.000000E+00
 0.873684E+01   31 -.568703E+01 0.000000E+00
 0.873684E+01   32 -.559150E+01 0.000000E+00
 0.873684E+01   33 -.549597E+01 0.000000E+00
 0.873684E+01   34 -.540044E+01 0.000000E+00
 0.873684E+01   35 -.530491E+01 0.000000E+00
 0.873684E+01   36 -.520938E+01 0.000000E+00
 0.873684E+01   37 -.511386E+01 0.000000E+00
 0.873684E+01   38 -.501833E+01 0.000000E+00
 0.873684E+01   39 -.492280E+01 0.000000E+00
 0.873684E+01   40 -.482727E+01 0.000000E+00
 0.873684E+01   41 -.473174E+01 0.000000E+00
 0.873684E+01   42 -.463621E+01 0.000000E+00
 0.873684E+01   43 -.454068E+01 0.000000E+00
 0.873684E+01   44 -.444515E+01 0.000000E+00
 0.873684E+01   45 -.434962E+01 0.000000E+00
 0.873684E+01   46 -.425409E+01 0.000000E+00
 0.873684E+01   47 -.415857E+01 0.341000E-04
 0.873684E+01   48 -.406304E+01 0.475180E-02
 0.873684E+01   49 -.396751E+01 0.898460E-01
 0.873684E+01   50 -.387198E+01 0.398550E+00
 0.873684E+01   51 -.377645E+01 0.410787E+00
 0.873684E+01   52 -.368092E+01 0.927016E-01
 0.873684E+01   53 -.358539E+01 0.331770E-02
 0.873684E+01   54 -.348986E+01 0.120000E-04
 0.873684E+01   55 -.339433E+01 0.000000E+00
 0.873684E+01   56 -.329880E+01 0.000000E+00
 0.873684E+01   57 -.320328E+01 0.000000E+00
 0.873684E+01   58 -.310775E+01 0.000000E+00
 0.873684E+01   59 -.301222E+01 0.000000E+00
 0.873684E+01   60 -.291669E+01 0.000000E+00
 0.873684E+01   61 -.282116E+01 0.000000E+00
 0.873684E+01   62 -.272563E+01 0.000000E+00
 0.873684E+01   63 -.263010E+01 0.000000E+00
 0.873684E+01   64 -.253457E+01 0.000000E+00
 0.873684E+01   65 -.243904E+01 0.000000E+00
 0.873684E+01   66 -.234351E+01 0.000000E+00
 0.873684E+01   67 -.224799E+01 0.000000E+00
 0.873684E+01   68 -.215246E+01 0.000000E+00
 0.873684E+01   69 -.205693E+01 0.000000E+00
 0.873684E+01   70 -.196140E+01 0.000000E+00
 0.873684E+01   71 -.186587E+01 0.000000E+00
 0.873684E+01   72 -.177034E+01 0.000000E+00
 0.873684E+01   73 -.167481E+01 0.000000E+00
 0.873684E+01   74 -.157928E+01 0.000000E+00
 0.873684E+01   75 -.148375E+01 0.000000E+00
 0.873684E+01   76 -.138822E+01 0.000000E+00
 0.873684E+01   77 -.129270E+01 0.000000E+00
 0.873684E+01   78 -.119717E+01 0.000000E+00
 0.873684E+01   79 -.110164E+01 0.000000E+00
 0.873684E+01   80 -.100611E+01 0.000000E+00
 0.873684E+01   81 -.910580E+00 0.000000E+00
 0.873684E+01   82 -.815051E+00 0.000000E+00
 0.873684E+01   83 -.719522E+00 0.000000E+00
 0.873684E+01   84 -.623993E+00 0.000000E+00
 0.873684E+01   85 -.528464E+00 0.000000E+00
 0.873684E+01   86 -.432935E+00 0.000000E+00
